time,ax,ay,az,gx,gy,gz,mx,my,mz
4536.00,-7.42,6.38,-1.00,7.42,-1.48,-1.25,-79.00,-66.00,-31.00
4549.00,-7.42,6.38,-1.00,7.42,-1.48,-1.25,-79.00,-66.00,-31.00
4561.00,-7.56,4.87,-4.71,5.74,-0.51,-0.97,-79.00,-66.00,-31.00
4573.00,-7.56,4.87,-4.71,5.74,-0.51,-0.97,-79.00,-66.00,-31.00
4585.00,-6.63,2.31,-8.77,4.49,-0.20,-0.89,-79.00,-66.00,-31.00
4598.00,-9.00,2.66,-11.06,5.00,-0.77,-0.55,-79.00,-66.00,-31.00
4610.00,-9.00,2.66,-11.06,5.00,-0.77,-0.55,-79.00,-66.00,-31.00
4622.00,-4.31,1.05,-6.53,10.08,-0.88,0.10,-79.00,-66.00,-31.00
4635.00,-4.31,1.05,-6.53,10.08,-0.88,0.10,-79.00,-66.00,-31.00
4646.00,-3.81,-1.66,-6.12,10.63,-0.30,0.88,-81.00,-15.00,21.00
4658.00,-7.55,-1.73,-9.11,6.64,-0.69,1.16,-81.00,-15.00,21.00
4669.00,-7.55,-1.73,-9.11,6.64,-0.69,1.16,-81.00,-15.00,21.00
4680.00,-6.08,-5.91,0.55,5.11,-0.82,1.56,-81.00,-15.00,21.00
4693.00,-6.08,-5.91,0.55,5.11,-0.82,1.56,-81.00,-15.00,21.00
4705.00,-8.63,-2.38,-4.37,-2.61,-0.64,1.58,-81.00,-15.00,21.00
4717.00,-6.65,2.30,-9.94,-4.79,-0.28,1.59,-81.00,-15.00,21.00
4729.00,-6.65,2.30,-9.94,-4.79,-0.28,1.59,-81.00,-15.00,21.00
4741.00,-7.69,4.30,-7.25,-0.56,0.11,1.75,-81.00,-15.00,21.00
4752.00,-7.69,4.30,-7.25,-0.56,0.11,1.75,-81.00,-15.00,21.00
4763.00,-7.51,4.19,-8.21,0.77,0.06,0.75,-81.00,-24.00,21.00
4776.00,-7.27,0.63,-7.01,1.77,-0.08,-0.13,-81.00,-24.00,21.00
4789.00,-7.27,0.63,-7.01,1.77,-0.08,-0.13,-81.00,-24.00,21.00
4801.00,-8.15,-1.30,-6.15,1.45,-0.20,-0.46,-81.00,-24.00,21.00
