time,ax,ay,az,gx,gy,gz,mx,my,mz
2604.00,-0.65,6.33,-7.91,-0.01,0.02,0.02,2.00,-18.00,-42.00
2615.00,-0.65,6.33,-7.91,-0.01,0.02,0.02,2.00,-18.00,-42.00
2627.00,-0.65,6.32,-7.91,-0.01,0.02,0.02,2.00,-18.00,-42.00
2638.00,-0.65,6.33,-7.88,-0.00,0.02,0.02,2.00,-18.00,-42.00
2650.00,-0.65,6.33,-7.88,-0.00,0.02,0.02,2.00,-18.00,-42.00
2663.00,-0.64,6.33,-7.88,-0.01,0.02,0.02,2.00,-18.00,-42.00
2675.00,-0.64,6.33,-7.88,-0.01,0.02,0.02,2.00,-18.00,-42.00
2687.00,-0.64,6.32,-7.92,-0.01,0.02,0.02,2.00,-18.00,-42.00
2698.00,-0.64,6.34,-7.89,-0.01,0.02,0.02,2.00,-18.00,-42.00
2711.00,-0.64,6.34,-7.89,-0.01,0.02,0.02,2.00,-18.00,-42.00
2723.00,-0.66,6.33,-7.92,-0.01,0.02,0.02,0.00,-20.00,-39.00
2735.00,-0.66,6.33,-7.92,-0.01,0.02,0.02,0.00,-20.00,-39.00
2746.00,-0.66,6.32,-7.91,-0.01,0.02,0.02,0.00,-20.00,-39.00
2759.00,-0.66,6.33,-7.93,-0.01,0.02,0.02,0.00,-20.00,-39.00
2770.00,-0.66,6.33,-7.93,-0.01,0.02,0.02,0.00,-20.00,-39.00
2782.00,-0.64,6.33,-7.89,-0.01,0.02,0.02,0.00,-20.00,-39.00
2793.00,-0.64,6.33,-7.89,-0.01,0.02,0.02,0.00,-20.00,-39.00
2797.00,-0.65,6.32,-7.89,-0.01,0.02,0.02,0.00,-20.00,-39.00
2876.00,-0.65,6.33,-7.91,-0.01,0.02,0.02,0.00,-20.00,-35.00
2953.00,-0.65,6.33,-7.88,-0.01,0.02,0.02,0.00,-20.00,-35.00
3032.00,-0.65,6.32,-7.89,-0.01,0.02,0.02,-5.00,-16.00,-37.00
3120.00,-0.65,6.33,-7.91,-0.01,0.02,0.02,2.00,-18.00,-39.00
3132.00,-0.65,6.33,-7.91,-0.01,0.02,0.02,2.00,-18.00,-39.00
3143.00,-0.65,6.32,-7.90,-0.00,0.02,0.02,2.00,-18.00,-39.00
3155.00,-0.65,6.32,-7.90,-0.00,0.02,0.02,2.00,-18.00,-39.00
3167.00,-0.65,6.32,-7.90,-0.00,0.02,0.02,2.00,-18.00,-39.00
3180.00,-0.64,6.32,-7.91,-0.01,0.02,0.02,2.00,-18.00,-39.00
3192.00,-0.64,6.32,-7.91,-0.01,0.02,0.02,2.00,-18.00,-39.00
3203.00,-0.65,6.31,-7.90,-0.01,0.02,0.02,2.00,-18.00,-39.00
3215.00,-0.65,6.31,-7.90,-0.01,0.02,0.02,2.00,-18.00,-39.00
3228.00,-0.64,6.33,-7.92,-0.01,0.02,0.02,0.00,-18.00,-39.00
3240.00,-0.63,6.32,-7.92,-0.01,0.02,0.02,0.00,-18.00,-39.00
3251.00,-0.63,6.32,-7.92,-0.01,0.02,0.02,0.00,-18.00,-39.00
3263.00,-0.64,6.31,-7.90,-0.01,0.02,0.02,0.00,-18.00,-39.00
3275.00,-0.64,6.31,-7.90,-0.01,0.02,0.02,0.00,-18.00,-39.00
3287.00,-0.64,6.31,-7.91,-0.01,0.02,0.02,0.00,-18.00,-39.00
3299.00,-0.64,6.34,-7.91,-0.01,0.02,0.02,0.00,-18.00,-39.00
3311.00,-0.64,6.34,-7.91,-0.01,0.02,0.02,0.00,-18.00,-39.00
3324.00,-0.63,6.32,-7.89,-0.01,0.02,0.02,0.00,-18.00,-39.00
3335.00,-0.63,6.32,-7.89,-0.01,0.02,0.02,0.00,-18.00,-39.00
3346.00,-0.64,6.32,-7.91,-0.01,0.02,0.02,0.00,-20.00,-37.00
3358.00,-0.63,6.32,-7.91,-0.01,0.02,0.02,0.00,-20.00,-37.00
3371.00,-0.63,6.32,-7.91,-0.01,0.02,0.02,0.00,-20.00,-37.00
3383.00,-0.64,6.33,-7.91,-0.01,0.02,0.02,0.00,-20.00,-37.00
3394.00,-0.64,6.33,-7.91,-0.01,0.02,0.02,0.00,-20.00,-37.00
3405.00,-0.65,6.33,-7.88,-0.01,0.02,0.02,0.00,-20.00,-37.00
3418.00,-0.64,6.33,-7.90,-0.01,0.02,0.02,0.00,-20.00,-37.00
3429.00,-0.64,6.33,-7.90,-0.01,0.02,0.02,0.00,-20.00,-37.00
3441.00,-0.64,6.32,-7.90,-0.01,0.02,0.02,0.00,-20.00,-37.00
3453.00,-0.64,6.32,-7.90,-0.01,0.02,0.02,0.00,-20.00,-37.00
3464.00,-0.62,6.31,-7.90,-0.01,0.02,0.02,-3.00,-16.00,-39.00
3477.00,-0.62,6.31,-7.90,-0.01,0.02,0.02,-3.00,-16.00,-39.00
3489.00,-0.62,6.33,-7.91,-0.01,0.02,0.02,-3.00,-16.00,-39.00
3501.00,-0.64,6.33,-7.90,-0.01,0.02,0.02,-3.00,-16.00,-39.00
3513.00,-0.64,6.33,-7.90,-0.01,0.02,0.02,-3.00,-16.00,-39.00
3526.00,-0.63,6.33,-7.88,-0.01,0.02,0.02,-3.00,-16.00,-39.00
3538.00,-0.64,6.33,-7.89,-0.01,0.02,0.02,-3.00,-16.00,-39.00
3550.00,-0.64,6.33,-7.89,-0.01,0.02,0.02,-3.00,-16.00,-39.00
3562.00,-0.62,6.32,-7.91,-0.01,0.02,0.02,-3.00,-16.00,-39.00
3575.00,-0.62,6.32,-7.91,-0.01,0.02,0.02,-3.00,-16.00,-39.00
3586.00,-0.64,6.32,-7.90,-0.01,0.02,0.02,-3.00,-16.00,-39.00
3598.00,-0.64,6.31,-7.90,-0.01,0.02,0.02,-3.00,-16.00,-39.00
3608.00,-0.64,6.31,-7.90,-0.01,0.02,0.02,0.00,-18.00,-39.00
3622.00,-0.64,6.33,-7.91,-0.01,0.02,0.02,0.00,-18.00,-39.00
3633.00,-0.64,6.33,-7.91,-0.01,0.02,0.02,0.00,-18.00,-39.00
3645.00,-0.63,6.32,-7.87,-0.01,0.02,0.02,0.00,-18.00,-39.00
